uid,pop_key,focal_population,focal_population_label,reference_population,reference_population_label,statistic,chromosome,rank,epicenter,epicenter_seqid,epicenter_coord,focus_start,focus_start_seqid,focus_start_coord,focus_end,focus_end_seqid,focus_end_coord,peak_start,peak_start_seqid,peak_start_coord,peak_end,peak_end_seqid,peak_end_coord,delta_aic,delta_aic_left,delta_aic_right,min_flank_delta_aic,max_value,max_percentile,overlapping_genes,known_loci
XPEHH/BFS.GWA/X/2,BFS.GWA,BFS,Burkina Faso *An. gambiae*,GWA,Guinea Bissau,XPEHH,X,2,9220000,X,9220000,9200000,X,9200000,9240000,X,9240000,9093979,X,9093979,9368669,X,9368669,744.23291015625,471.064514160156,345.051086425781,345.051086425781,8.45077074651825,0.995089285714286,AGAP000519,
H12/CMS/2/2,CMS,CMS,Cameroon *An. gambiae*,,,H12,2,2,64640000,2L,3094895,64600000,2L,3054895,65160000,2L,3614895,60160001,2R,60160001,66225105,2L,4680000,725.047485351563,459.068176269531,247.142990112305,247.142990112305,0.26835041322314,0.996965911119043,AGAP004751 AGAP004752 AGAP004753 AGAP004754 AGAP004755 AGAP004756 AGAP013546 AGAP004757 AGAP004758 AGAP004759 AGAP004760 AGAP004761 AGAP004762 AGAP004763 AGAP004764 AGAP004765 AGAP028129 AGAP004766 AGAP004767 AGAP004768 AGAP004769 AGAP004770 AGAP004771 AGAP004772 AGAP004773 AGAP004774 AGAP004775 AGAP004776 AGAP004777 AGAP004778 AGAP004780 AGAP004781 AGAP004782 AGAP004783 AGAP004784 AGAP004785 AGAP004786 AGAP004787 AGAP004788 AGAP004789 AGAP004790 AGAP004791 AGAP004792 AGAP004793 AGAP004794 AGAP004795,
XPEHH/BFM.BFS/X/1,BFM.BFS,BFM,Burkina Faso *An. coluzzii*,BFS,Burkina Faso *An. gambiae*,XPEHH,X,1,15700000,X,15700000,15580000,X,15580000,15800000,X,15800000,14812942,X,14812942,16246278,X,16246278,718.378479003906,395.135772705078,328.369140625,328.369140625,8.96464432876612,0.99915931063472,AGAP000847 AGAP000848 AGAP000849 AGAP000850 AGAP000851 AGAP000852 AGAP000853 AGAP000854 AGAP000855 AGAP000856 AGAP000857,
XPEHH/BFS.GWA/2/3,BFS.GWA,BFS,Burkina Faso *An. gambiae*,GWA,Guinea Bissau,XPEHH,2,3,28460000,2R,28460000,28420000,2R,28420000,28500000,2R,28500000,28257846,2R,28257846,28690818,2R,28690818,697.418518066406,390.537963867187,331.798950195313,331.798950195313,7.22213311424139,0.990625,AGAP002859 AGAP002862 AGAP013128 AGAP002863 AGAP002864 AGAP002865 AGAP002866 AGAP002867 AGAP002868,Cyp6p
XPEHH/BFS.UGS/X/2,BFS.UGS,BFS,Burkina Faso *An. gambiae*,UGS,Uganda *An. gambiae*,XPEHH,X,2,9240000,X,9240000,9220000,X,9220000,9260000,X,9260000,9094523,X,9094523,9339794,X,9339794,678.437927246094,463.368011474609,268.879730224609,268.879730224609,9.90226095554591,0.998207553000804,AGAP000519,
XPEHH/UGS.GWA/3/1,UGS.GWA,UGS,Uganda *An. gambiae*,GWA,Guinea Bissau,XPEHH,3,1,28580000,3R,28580000,28540000,3R,28540000,28600000,3R,28600000,28445292,3R,28445292,28816724,3R,28816724,662.060241699219,393.81787109375,319.75390625,319.75390625,13.3913936877244,1,AGAP009185 AGAP009187 AGAP009188 AGAP009189 AGAP009190 AGAP009191 AGAP009192 AGAP009193 AGAP009194 AGAP009195,Gste
XPEHH/UGS.CMS/2/1,UGS.CMS,UGS,Uganda *An. gambiae*,CMS,Cameroon *An. gambiae*,XPEHH,2,1,28920000,2R,28920000,28860000,2R,28860000,28980000,2R,28980000,27351921,2R,27351921,29315820,2R,29315820,645.884338378906,372.185302734375,269.73486328125,269.73486328125,8.30416989918142,0.996618130577736,AGAP002888 AGAP013540 AGAP002889 AGAP002890 AGAP002891 AGAP002892 AGAP002893,
IHS/CMS/2/2,CMS,CMS,Cameroon *An. gambiae*,,,IHS,2,2,40360000,2R,40360000,40060000,2R,40060000,40780000,2R,40780000,38924772,2R,38924772,44357133,2R,44357133,643.799926757812,374.330932617187,207.919097900391,207.919097900391,7.11171984294883,0.999504459861249,AGAP013217 AGAP003575 AGAP003576 AGAP003577 AGAP003578 AGAP003579 AGAP003580 AGAP003581 AGAP003582 AGAP003583 AGAP003584 AGAP003585 AGAP003586 AGAP013333 AGAP003587 AGAP003588 AGAP003589 AGAP003590 AGAP003591 AGAP003592 AGAP003593 AGAP003594 AGAP003595 AGAP003596 AGAP003597 AGAP003598 AGAP003599 AGAP003600 AGAP003601 AGAP003602 AGAP003603 AGAP003604 AGAP003605 AGAP003606 AGAP003607 AGAP003608 AGAP003610 AGAP003611 AGAP003612 AGAP003613 AGAP003614 AGAP013196 AGAP013432 AGAP029070 AGAP029099 AGAP029064 AGAP029085 AGAP029083 AGAP003615 AGAP003616 AGAP003618 AGAP003619 AGAP003620 AGAP003621 AGAP003622 AGAP003623 AGAP003624 AGAP029110 AGAP003626 AGAP013221 AGAP012946 AGAP003627 AGAP003629 AGAP003630 AGAP003631,
IHS/BFS/2/2,BFS,BFS,Burkina Faso *An. gambiae*,,,IHS,2,2,3700000,2R,3700000,3380000,2R,3380000,3900000,2R,3900000,2067270,2R,2067270,4327125,2R,4327125,635.907043457031,262.833709716797,414.278930664063,262.833709716797,5.83183167160546,0.992101449275362,AGAP001346 AGAP001347 AGAP001348 AGAP001349 AGAP001350 AGAP001351 AGAP001352 AGAP001353 AGAP001354 AGAP001355 AGAP001356 AGAP001357 AGAP001358 AGAP001360 AGAP001361 AGAP001362 AGAP001363 AGAP001364 AGAP001365 AGAP001366 AGAP001367 AGAP001368 AGAP001369 AGAP028468 AGAP001370 AGAP001371 AGAP001372,Ace1
XPEHH/BFM.GWA/2/2,BFM.GWA,BFM,Burkina Faso *An. coluzzii*,GWA,Guinea Bissau,XPEHH,2,2,87040000,2L,25494895,87020000,2L,25474895,87060000,2L,25514895,86659435,2L,25114330,87195808,2L,25650703,625.21875,359.839294433594,303.820587158203,303.820587158203,8.08218884058305,0.993766233766234,AGAP006035,Rdl
XPEHH/AOM.GAS/3/1,AOM.GAS,AOM,Angola *An. coluzzii*,GAS,Gabon *An. gambiae*,XPEHH,3,1,43840000,3R,43840000,43460000,3R,43460000,44120000,3R,44120000,42680629,3R,42680629,47252911,3R,47252911,605.395812988281,262.565307617187,206.067657470703,206.067657470703,4.37641582812342,0.999051593323217,AGAP029125 AGAP009796 AGAP009797 AGAP009798 AGAP009799 AGAP009800 AGAP009801 AGAP009802 AGAP009803 AGAP009804 AGAP009805 AGAP009806 AGAP009807 AGAP009808 AGAP009809 AGAP009810 AGAP009811 AGAP009812 AGAP028647 AGAP009815 AGAP009816 AGAP009817 AGAP009818 AGAP009819 AGAP009820 AGAP009821 AGAP009822 AGAP009823 AGAP009824 AGAP009825 AGAP009826 AGAP009827 AGAP009828 AGAP009829 AGAP009830 AGAP009831 AGAP009832 AGAP028572 AGAP009833 AGAP009834 AGAP009835 AGAP009836 AGAP009837 AGAP009838 AGAP009839 AGAP009840 AGAP009841 AGAP009842 AGAP009843 AGAP009844 AGAP009845 AGAP009846 AGAP009847,
IHS/CMS/2/3,CMS,CMS,Cameroon *An. gambiae*,,,IHS,2,3,96000000,2L,34454895,95800000,2L,34254895,96220000,2L,34674895,91992880,2L,30447775,97203509,2L,35658404,586.256164550781,174.261657714844,298.081878662109,174.261657714844,4.82331856681042,0.976851196375478,AGAP006579 AGAP006580 AGAP006581 AGAP006582 AGAP006583 AGAP028458 AGAP006584 AGAP028459 AGAP006585 AGAP006586 AGAP006587 AGAP006588 AGAP028666 AGAP028665 AGAP006590 AGAP006591 AGAP006592 AGAP006593 AGAP006594 AGAP006595 AGAP006596 AGAP006597 AGAP006598 AGAP006599 AGAP006600 AGAP006601 AGAP006602 AGAP006603 AGAP006604,
XPEHH/CMS.GWA/2/2,CMS.GWA,CMS,Cameroon *An. gambiae*,GWA,Guinea Bissau,XPEHH,2,2,28460000,2R,28460000,28420000,2R,28420000,28620000,2R,28620000,28047117,2R,28047117,28914764,2R,28914764,578.024963378906,350.480255126953,248.55583190918,248.55583190918,6.2038559300552,0.987489975942261,AGAP002859 AGAP002862 AGAP013128 AGAP002863 AGAP002864 AGAP002865 AGAP002866 AGAP002867 AGAP002868 AGAP002869 AGAP002870 AGAP013202 AGAP000586 AGAP002872 AGAP002873 AGAP013069 AGAP002874 AGAP002875 AGAP013244 AGAP002876 AGAP002877 AGAP002878 AGAP002879 AGAP002880 AGAP002881,Cyp6p
XPEHH/BFM.AOM/3/1,BFM.AOM,BFM,Burkina Faso *An. coluzzii*,AOM,Angola *An. coluzzii*,XPEHH,3,1,28620000,3R,28620000,28600000,3R,28600000,28640000,3R,28640000,28241496,3R,28241496,28715422,3R,28715422,569.845703125,344.735229492187,272.596252441406,272.596252441406,7.05362429341912,1,AGAP009196 AGAP009197 AGAP009198 AGAP009199 AGAP009200,Gste
H12/BFS/X/2,BFS,BFS,Burkina Faso *An. gambiae*,,,H12,X,2,9220000,X,9220000,9180000,X,9180000,9240000,X,9240000,9080001,X,9080001,9360000,X,9360000,563.69677734375,377.742584228516,276.730590820312,276.730590820312,0.287960225745767,0.977690522934142,AGAP000519,
IHS/BFS/2/3,BFS,BFS,Burkina Faso *An. gambiae*,,,IHS,2,3,40420000,2R,40420000,40320000,2R,40320000,40560000,2R,40560000,39139544,2R,39139544,44417753,2R,44417753,557.086364746094,221.676147460937,227.693283081055,221.676147460937,6.19052738817387,0.994565217391304,AGAP003581 AGAP003582 AGAP003583 AGAP003584 AGAP003585 AGAP003586 AGAP013333 AGAP003587 AGAP003588 AGAP003589 AGAP003590 AGAP003591 AGAP003592 AGAP003593 AGAP003594 AGAP003595 AGAP003596 AGAP003597 AGAP003598 AGAP003599 AGAP003600 AGAP003601 AGAP003602 AGAP003603 AGAP003604 AGAP003605 AGAP003606 AGAP003607 AGAP003608 AGAP003610 AGAP003611 AGAP003612 AGAP003613 AGAP003614 AGAP013196 AGAP013432 AGAP029070 AGAP029099 AGAP029064 AGAP029085 AGAP029083 AGAP003615 AGAP003616,
IHS/BFS/2/4,BFS,BFS,Burkina Faso *An. gambiae*,,,IHS,2,4,90260000,2L,28714895,90160000,2L,28614895,90360000,2L,28814895,87440148,2L,25895043,90959785,2L,29414680,554.642517089844,134.782379150391,377.811462402344,134.782379150391,7.69647401554636,0.999927536231884,AGAP006250 AGAP006251 AGAP006252 AGAP006253 AGAP006254 AGAP006255 AGAP006256 AGAP028399 AGAP028454 AGAP006257 AGAP006258 AGAP006259 AGAP006260 AGAP006261 AGAP006262 AGAP006263 AGAP006264 AGAP006265 AGAP006266 AGAP006267,
IHS/GNS/X/1,GNS,GNS,Guinea *An. gambiae*,,,IHS,X,1,15520000,X,15520000,15240000,X,15240000,15780000,X,15780000,14086967,X,14086967,16258852,X,16258852,553.128051757813,326.954498291016,240.317276000977,240.317276000977,5.6365100963064,0.992942374854482,AGAP000818 AGAP000819 AGAP000820 AGAP000821 AGAP000822 AGAP000823 AGAP000824 AGAP000825 AGAP000826 AGAP000829 AGAP000830 AGAP000831 AGAP000832 AGAP000833 AGAP000834 AGAP000835 AGAP028655 AGAP013506 AGAP000840 AGAP000841 AGAP013101 AGAP000842 AGAP000843 AGAP000844 AGAP000847 AGAP000848 AGAP000849 AGAP000850 AGAP000851 AGAP000852 AGAP000853 AGAP000854,Cyp9k1
XPEHH/CMS.GAS/3/1,CMS.GAS,CMS,Cameroon *An. gambiae*,GAS,Gabon *An. gambiae*,XPEHH,3,1,44400000,3R,44400000,43920000,3R,43920000,44560000,3R,44560000,42447651,3R,42447651,48100410,3R,48100410,538.303649902344,361.798370361328,86.3406677246094,86.3406677246094,3.14486481206568,0.99516993062264,AGAP009828 AGAP009829 AGAP009830 AGAP009831 AGAP009832 AGAP028572 AGAP009833 AGAP009834 AGAP009835 AGAP009836 AGAP009837 AGAP009838 AGAP009839 AGAP009840 AGAP009841 AGAP009842 AGAP009843 AGAP009844 AGAP009845 AGAP009846 AGAP009847 AGAP009848 AGAP009849 AGAP009850 AGAP009851 AGAP009852 AGAP009853 AGAP009854 AGAP009855 AGAP009856 AGAP009857 AGAP009858 AGAP009859 AGAP009860 AGAP009861 AGAP009862 AGAP009863,
XPEHH/AOM.GWA/2/1,AOM.GWA,AOM,Angola *An. coluzzii*,GWA,Guinea Bissau,XPEHH,2,1,64740000,2L,3194895,64600000,2L,3054895,64940000,2L,3394895,56691155,2R,56691155,66068291,2L,4523186,533.173156738281,146.596176147461,303.367736816406,146.596176147461,6.68325592756275,1,AGAP004751 AGAP004752 AGAP004753 AGAP004754 AGAP004755 AGAP004756 AGAP013546 AGAP004757 AGAP004758 AGAP004759 AGAP004760 AGAP004761 AGAP004762 AGAP004763 AGAP004764 AGAP004765 AGAP028129 AGAP004766 AGAP004767 AGAP004768 AGAP004769 AGAP004770 AGAP004771 AGAP004772 AGAP004773 AGAP004774,
H12/GAS/2/1,GAS,GAS,Gabon *An. gambiae*,,,H12,2,1,87020000,2L,25474895,87000000,2L,25454895,87060000,2L,25514895,86785106,2L,25240001,87385105,2L,25840000,529.195495605469,210.1064453125,367.29248046875,210.1064453125,0.428571428571429,1,AGAP006030 AGAP006031 AGAP006032 AGAP006033 AGAP006034 AGAP006035,Rdl
H12/AOM/X/1,AOM,AOM,Angola *An. coluzzii*,,,H12,X,1,4360000,X,4360000,4340000,X,4340000,4380000,X,4380000,4200001,X,4200001,4460000,X,4460000,519.841613769531,382.505157470703,211.32470703125,211.32470703125,0.223194444444444,0.978311525362968,AGAP000232 AGAP000233,
IHS/UGS/X/1,UGS,UGS,Uganda *An. gambiae*,,,IHS,X,1,14880000,X,14880000,14640000,X,14640000,15360000,X,15360000,13883995,X,13883995,16783350,X,16783350,517.427551269531,351.311431884766,174.801345825195,174.801345825195,4.1051471180328,0.967380583345075,AGAP000801 AGAP000803 AGAP000804 AGAP000805 AGAP000806 AGAP000807 AGAP000808 AGAP013022 AGAP000809 AGAP000810 AGAP000812 AGAP000813 AGAP000814 AGAP000815 AGAP000817 AGAP000816 AGAP013474 AGAP013173 AGAP013424 AGAP012997 AGAP000818 AGAP000819 AGAP000820 AGAP000821 AGAP000822 AGAP000823 AGAP000824 AGAP000825 AGAP000826 AGAP000829,Cyp9k1
IHS/BFS/X/1,BFS,BFS,Burkina Faso *An. gambiae*,,,IHS,X,1,9360000,X,9360000,9160000,X,9160000,9680000,X,9680000,8656281,X,8656281,10603551,X,10603551,515.176025390625,323.899353027344,229.593551635742,229.593551635742,6.78425429344421,0.997391304347826,AGAP000519 AGAP000520 AGAP000521 AGAP000522 AGAP000523 AGAP000526 AGAP000528 AGAP000529 AGAP000530 AGAP000531 AGAP000532 AGAP013259 AGAP013283 AGAP000533 AGAP000534 AGAP013287 AGAP000535 AGAP028592 AGAP012976 AGAP013521 AGAP000536 AGAP000537 AGAP000538 AGAP000539 AGAP000540,
H12/BFM/2/3,BFM,BFM,Burkina Faso *An. coluzzii*,,,H12,2,3,40940000,2R,40940000,40920000,2R,40920000,40960000,2R,40960000,40720001,2R,40720001,41160000,2R,41160000,512.72119140625,232.504364013672,337.547302246094,232.504364013672,0.21686620457887,0.976351954310191,AGAP003643 AGAP003644 AGAP003645 AGAP013307 AGAP003646 AGAP003647 AGAP003648,
XPEHH/BFM.AOM/X/1,BFM.AOM,BFM,Burkina Faso *An. coluzzii*,AOM,Angola *An. coluzzii*,XPEHH,X,1,15080000,X,15080000,15040000,X,15040000,15180000,X,15180000,14800538,X,14800538,16095410,X,16095410,511.239776611328,279.987823486328,147.673706054688,147.673706054688,6.6788565055949,0.999619771863118,AGAP013173 AGAP013424 AGAP012997,
IHS/GNS/3/2,GNS,GNS,Guinea *An. gambiae*,,,IHS,3,2,4540000,3R,4540000,4400000,3R,4400000,4960000,3R,4960000,4038266,3R,4038266,5958244,3R,5958244,508.043884277344,216.102203369141,265.038055419922,216.102203369141,5.30815577137603,0.990104772991851,AGAP008025 AGAP013728 AGAP008026 AGAP008027 AGAP008028 AGAP028427 AGAP008033 AGAP013760 AGAP008034 AGAP008035 AGAP008036 AGAP008037 AGAP008039 AGAP008040 AGAP008041 AGAP008042 AGAP008043 AGAP008044 AGAP008045 AGAP013736 AGAP008046 AGAP013713 AGAP008047 AGAP008048 AGAP008049 AGAP008050 AGAP008051 AGAP008052 AGAP008053 AGAP008054 AGAP008055 AGAP008056 AGAP029127 AGAP008059 AGAP008060 AGAP008061 AGAP008062,
IHS/BFS/3/2,BFS,BFS,Burkina Faso *An. gambiae*,,,IHS,3,2,4480000,3R,4480000,4340000,3R,4340000,4740000,3R,4740000,3551433,3R,3551433,6788348,3R,6788348,504.926574707031,302.261688232422,196.296112060547,196.296112060547,4.20436018444986,0.957028985507246,AGAP008023 AGAP008025 AGAP013728 AGAP008026 AGAP008027 AGAP008028 AGAP028427,
H12/CMS/2/3,CMS,CMS,Cameroon *An. gambiae*,,,H12,2,3,40420000,2R,40420000,40300000,2R,40300000,40740000,2R,40740000,39160001,2R,39160001,44420000,2R,44420000,501.679321289063,245.659591674805,165.960845947266,165.960845947266,0.168409917355372,0.987149741210066,AGAP003581 AGAP003582 AGAP003583 AGAP003584 AGAP003585 AGAP003586 AGAP013333 AGAP003587 AGAP003588 AGAP003589 AGAP003590 AGAP003591 AGAP003592 AGAP003593 AGAP003594 AGAP003595 AGAP003596 AGAP003597 AGAP003598 AGAP003599 AGAP003600 AGAP003601 AGAP003602 AGAP003603 AGAP003604 AGAP003605 AGAP003606 AGAP003607 AGAP003608 AGAP003610 AGAP003611 AGAP003612 AGAP003613 AGAP003614 AGAP013196 AGAP013432 AGAP029070 AGAP029099 AGAP029064 AGAP029085 AGAP029083 AGAP003615 AGAP003616 AGAP003618 AGAP003619 AGAP003620 AGAP003621 AGAP003622 AGAP003623 AGAP003624 AGAP029110 AGAP003626 AGAP013221 AGAP012946 AGAP003627 AGAP003629 AGAP003630 AGAP003631,
IHS/BFM/X/1,BFM,BFM,Burkina Faso *An. coluzzii*,,,IHS,X,1,15180000,X,15180000,14760000,X,14760000,15620000,X,15620000,13615207,X,13615207,17381566,X,17381566,501.014678955078,293.685943603516,195.110870361328,195.110870361328,8.89867058499349,0.999931067760392,AGAP000806 AGAP000807 AGAP000808 AGAP013022 AGAP000809 AGAP000810 AGAP000812 AGAP000813 AGAP000814 AGAP000815 AGAP000817 AGAP000816 AGAP013474 AGAP013173 AGAP013424 AGAP012997 AGAP000818 AGAP000819 AGAP000820 AGAP000821 AGAP000822 AGAP000823 AGAP000824 AGAP000825 AGAP000826 AGAP000829 AGAP000830 AGAP000831 AGAP000832 AGAP000833 AGAP000834 AGAP000835 AGAP028655 AGAP013506 AGAP000840 AGAP000841 AGAP013101 AGAP000842 AGAP000843 AGAP000844 AGAP000847,Cyp9k1
XPEHH/BFM.GWA/2/3,BFM.GWA,BFM,Burkina Faso *An. coluzzii*,GWA,Guinea Bissau,XPEHH,2,3,28440000,2R,28440000,28380000,2R,28380000,28520000,2R,28520000,28214689,2R,28214689,28672464,2R,28672464,495.422698974609,235.354583740234,304.270385742188,235.354583740234,7.60837461948869,0.991896103896104,AGAP002858 AGAP002859 AGAP002862 AGAP013128 AGAP002863 AGAP002864 AGAP002865 AGAP002866 AGAP002867 AGAP002868 AGAP002869 AGAP002870 AGAP013202,Cyp6p
IHS/UGS/3/1,UGS,UGS,Uganda *An. gambiae*,,,IHS,3,1,28600000,3R,28600000,28440000,3R,28440000,28640000,3R,28640000,28003474,3R,28003474,29256865,3R,29256865,493.426971435547,311.0966796875,177.981903076172,177.981903076172,5.7926883327713,0.996970550937016,AGAP009184 AGAP009185 AGAP009187 AGAP009188 AGAP009189 AGAP009190 AGAP009191 AGAP009192 AGAP009193 AGAP009194 AGAP009195 AGAP009196 AGAP009197 AGAP009198 AGAP009199 AGAP009200,Gste
XPEHH/UGS.BFS/2/2,UGS.BFS,UGS,Uganda *An. gambiae*,BFS,Burkina Faso *An. gambiae*,XPEHH,2,2,95720000,2L,34174895,95680000,2L,34134895,95780000,2L,34234895,95137547,2L,33592442,95967106,2L,34422001,487.436492919922,275.491180419922,263.593383789062,263.593383789062,6.28491503228308,0.982891061452514,AGAP006559 AGAP006560 AGAP006561 AGAP006562 AGAP006563 AGAP006564 AGAP028429 AGAP006566 AGAP028428 AGAP006567 AGAP006568 AGAP006569 AGAP006570 AGAP006571 AGAP006572 AGAP006573 AGAP006574 AGAP006575 AGAP006576 AGAP006577 AGAP006578,
H12/AOM/2/1,AOM,AOM,Angola *An. coluzzii*,,,H12,2,1,8320000,2R,8320000,8280000,2R,8280000,8340000,2R,8340000,7880001,2R,7880001,8720000,2R,8720000,479.734161376953,282.811859130859,239.49479675293,239.49479675293,0.168611111111111,0.969528589352931,AGAP001683,
H12/AOM/2/2,AOM,AOM,Angola *An. coluzzii*,,,H12,2,2,28060000,2R,28060000,28040000,2R,28040000,28080000,2R,28080000,27880001,2R,27880001,28140000,2R,28140000,478.42236328125,462.875701904297,153.124893188477,153.124893188477,0.492777777777778,0.999955189101989,AGAP002826 AGAP002828 AGAP002829 AGAP002830,
IHS/BFS/X/2,BFS,BFS,Burkina Faso *An. gambiae*,,,IHS,X,2,14760000,X,14760000,14660000,X,14660000,14980000,X,14980000,14049136,X,14049136,17551700,X,17551700,477.561370849609,275.878387451172,142.668853759766,142.668853759766,7.11859890733327,0.998985507246377,AGAP000801 AGAP000803 AGAP000804 AGAP000805 AGAP000806 AGAP000807 AGAP000808 AGAP013022 AGAP000809 AGAP000810 AGAP000812 AGAP000813 AGAP000814 AGAP000815,
XPEHH/BFM.BFS/2/1,BFM.BFS,BFM,Burkina Faso *An. coluzzii*,BFS,Burkina Faso *An. gambiae*,XPEHH,2,1,87080000,2L,25534895,87000000,2L,25454895,87100000,2L,25554895,86467971,2L,24922866,87231743,2L,25686638,468.766448974609,349.933746337891,158.47184753418,158.47184753418,6.08634105123027,0.992994255289337,AGAP006030 AGAP006031 AGAP006032 AGAP006033 AGAP006034 AGAP006035 AGAP006036 AGAP006037 AGAP006038 AGAP006039 AGAP006040 AGAP006041,Rdl
IHS/BFM/2/1,BFM,BFM,Burkina Faso *An. coluzzii*,,,IHS,2,1,28920000,2R,28920000,28700000,2R,28700000,29020000,2R,29020000,26878419,2R,26878419,29435398,2R,29435398,468.46142578125,306.367431640625,112.454147338867,112.454147338867,6.93237647612875,0.997863100572138,AGAP002886 AGAP002888 AGAP013540 AGAP002889 AGAP002890 AGAP002891 AGAP002892 AGAP002893 AGAP002894 AGAP002895 AGAP002896,
IHS/GNS/2/2,GNS,GNS,Guinea *An. gambiae*,,,IHS,2,2,3140000,2R,3140000,3020000,2R,3020000,3280000,2R,3280000,2708526,2R,2708526,4103994,2R,4103994,461.51123046875,234.159408569336,258.431701660156,234.159408569336,4.89525055836386,0.983701979045402,AGAP001328 AGAP001329 AGAP001330 AGAP001331 AGAP028467 AGAP001332 AGAP001333 AGAP001334 AGAP001335,
IHS/GNS/2/3,GNS,GNS,Guinea *An. gambiae*,,,IHS,2,3,40360000,2R,40360000,40200000,2R,40200000,40420000,2R,40420000,39602444,2R,39602444,42182342,2R,42182342,450.671875,228.554260253906,206.485977172852,206.485977172852,5.30879251371353,0.990250291036088,AGAP003579 AGAP003580 AGAP003581 AGAP003582 AGAP003583 AGAP003584 AGAP003585 AGAP003586 AGAP013333 AGAP003587 AGAP003588 AGAP003589 AGAP003590 AGAP003591 AGAP003592 AGAP003593 AGAP003594 AGAP003595 AGAP003596 AGAP003597 AGAP003598 AGAP003599 AGAP003600,
XPEHH/BFS.UGS/2/3,BFS.UGS,BFS,Burkina Faso *An. gambiae*,UGS,Uganda *An. gambiae*,XPEHH,2,3,3400000,2R,3400000,3260000,2R,3260000,3600000,2R,3600000,3047238,2R,3047238,4061622,2R,4061622,432.630859375,169.355361938477,293.266174316406,169.355361938477,2.47818518263369,0.903022436491748,AGAP001334 AGAP001335 AGAP001336 AGAP001337 AGAP001338 AGAP001339 AGAP001340 AGAP001341 AGAP001342 AGAP001343 AGAP001344 AGAP001345 AGAP001346 AGAP001347 AGAP001348 AGAP001349 AGAP001350 AGAP001351 AGAP001352 AGAP001353 AGAP001354 AGAP001355 AGAP001356 AGAP001357 AGAP001358 AGAP001360 AGAP001361 AGAP001362 AGAP001363 AGAP001364 AGAP001365 AGAP001366 AGAP001367,Ace1
XPEHH/GWA.UGS/2/1,GWA.UGS,GWA,Guinea Bissau,UGS,Uganda *An. gambiae*,XPEHH,2,1,93520000,2L,31974895,93460000,2L,31914895,93580000,2L,32034895,93303398,2L,31758293,93655193,2L,32110088,430.470367431641,242.720642089844,228.276748657227,228.276748657227,3.0255495858414,0.932526067944837,AGAP006439 AGAP006440 AGAP006441,
H12/UGS/3/2,UGS,UGS,Uganda *An. gambiae*,,,H12,3,2,49840000,3R,49840000,49660000,3R,49660000,49880000,3R,49880000,46280001,3R,46280001,51320000,3R,51320000,427.282501220703,151.439300537109,192.96940612793,151.439300537109,0.121877651050994,0.933238129239557,AGAP010159 AGAP010160 AGAP010161 AGAP010162 AGAP010163 AGAP010164 AGAP010165 AGAP010166 AGAP010167 AGAP010168 AGAP010169 AGAP028032,
XPEHH/GAS.GWA/2/1,GAS.GWA,GAS,Gabon *An. gambiae*,GWA,Guinea Bissau,XPEHH,2,1,87100000,2L,25554895,87020000,2L,25474895,87180000,2L,25634895,86342480,2L,24797375,87606859,2L,26061754,423.446319580078,213.682189941406,225.805313110352,213.682189941406,4.9838473868212,0.999747123530156,AGAP006035 AGAP006036 AGAP006037 AGAP006038 AGAP006039 AGAP006040 AGAP006041 AGAP006042 AGAP029130 AGAP029102 AGAP006045 AGAP006046 AGAP006047 AGAP006048,Rdl
XPEHH/UGS.GWA/2/2,UGS.GWA,UGS,Uganda *An. gambiae*,GWA,Guinea Bissau,XPEHH,2,2,95720000,2L,34174895,95660000,2L,34114895,95760000,2L,34214895,95170549,2L,33625444,95941426,2L,34396321,422.412048339844,220.09098815918,228.491012573242,220.09098815918,4.75961952354414,0.95197904540163,AGAP006550 AGAP006551 AGAP006552 AGAP006553 AGAP006554 AGAP006555 AGAP006556 AGAP006557 AGAP006558 AGAP006559 AGAP006560 AGAP006561 AGAP006562 AGAP006563 AGAP006564 AGAP028429 AGAP006566 AGAP028428 AGAP006567 AGAP006568 AGAP006569 AGAP006570 AGAP006571 AGAP006572 AGAP006573 AGAP006574,
H12/GNS/X/1,GNS,GNS,Guinea *An. gambiae*,,,H12,X,1,15020000,X,15020000,14960000,X,14960000,15160000,X,15160000,14800001,X,14800001,15700000,X,15700000,419.695587158203,197.991333007813,167.501953125,167.501953125,0.262226847034339,0.978270569337855,AGAP000817 AGAP000816 AGAP013474 AGAP013173 AGAP013424,
H12/AOM/2/3,AOM,AOM,Angola *An. coluzzii*,,,H12,2,3,86800000,2L,25254895,86760000,2L,25214895,86880000,2L,25334895,86485106,2L,24940001,88045105,2L,26500000,398.976318359375,177.516708374023,203.868865966797,177.516708374023,0.123472222222222,0.956802294317978,AGAP006027,Rdl
H12/AOM/2/4,AOM,AOM,Angola *An. coluzzii*,,,H12,2,4,58760000,2R,58760000,58660000,2R,58660000,59200000,2R,59200000,56760001,2R,56760001,66445105,2L,4900000,395.058135986328,185.883178710937,170.169158935547,170.169158935547,0.447638888888889,0.999775945509948,AGAP004630 AGAP004631 AGAP004632 AGAP004633 AGAP004634 AGAP004635 AGAP013218 AGAP004636 AGAP004637 AGAP013117 AGAP004638 AGAP004639 AGAP004640 AGAP013302 AGAP004641 AGAP004642 AGAP013063 AGAP004643 AGAP004644 AGAP004645,
